號碼,選區,選民人數,投票率,黃梓謙,劉嘉鴻,葉劉淑儀,何秀蘭,張國鈞,詹培忠,鄭錦滿,羅冠聰,沈志超,王維基,徐子見,司馬文,許智峯,陳淑莊,郭偉强,總有效,無效,非建制,建制,其他,得票率差,黃梓謙%,劉嘉鴻%,葉劉淑儀%,何秀蘭%,張國鈞%,詹培忠%,鄭錦滿%,羅冠聰%,沈志超%,王維基%,徐子見%,司馬文%,許智峯%,陳淑莊%,郭偉强%
A01*,中環,4266,58.80%,55.6859038809572,23.5302634224814,558.62457269254,76.4572692539715,215.307460285542,21.3967424090086,86.8837723708023,253.647496480997,5.3448622561834,155.035592197868,0.1681077820229,19.8924190629399,647.484214759702,177.966418660768,185.311280916952,2482.73637643274,25.6810778202292,51.80%,39.50%,8.70%,12.30%,2.24%,0.95%,22.50%,3.08%,8.67%,0.86%,3.50%,10.22%,0.22%,6.24%,0.01%,0.80%,26.08%,7.17%,7.46%
A02*,半山東,6625,64.84%,170.199469223525,35.1745569728619,997.368889649859,167.362811403133,362.524869446109,31.203236024313,125.947607225409,506.059755157949,16.4526153582741,427.200667751049,3.4039893844705,52.1945038952145,747.175669891277,381.814142624775,243.385240989641,4267.46802499786,28.3665782039209,47.31%,38.30%,14.38%,9.01%,3.99%,0.82%,23.37%,3.92%,8.50%,0.73%,2.95%,11.86%,0.39%,10.01%,0.08%,1.22%,17.51%,8.95%,5.70%
A03*,衛城,6804,63.67%,172.800530776475,36.8254430271381,983.631110350141,165.637188596867,372.475130553891,31.796763975687,134.052392774591,518.940244842051,20.5473846417259,407.799332248951,3.5960106155295,51.8054961047856,763.824330108724,400.185857375225,233.614759010359,4297.53197500214,34.6334217960791,48.28%,37.73%,13.99%,10.55%,4.02%,0.86%,22.89%,3.85%,8.67%,0.74%,3.12%,12.08%,0.48%,9.49%,0.08%,1.21%,17.77%,9.31%,5.44%
A04*,山頂,5329,57.43%,143.314096119043,25.4697365775186,955.37542730746,87.5427307460286,356.692539714458,43.6032575909914,36.1162276291977,233.352503519003,7.6551377438166,283.964407802132,1.8318922179771,44.1075809370601,369.515785240298,235.033581339232,219.688719083048,3043.26362356726,17.3189221797708,33.94%,51.77%,14.29%,-17.82%,4.71%,0.84%,31.39%,2.88%,11.72%,1.43%,1.19%,7.67%,0.25%,9.33%,0.06%,1.45%,12.14%,7.72%,7.22%
A05*,大學,8265,65.34%,229.054500683596,63.4889811142977,1089.35522944781,226.786234831578,573.161552041924,47.3482793539473,172.482793539473,838.941811784076,24.9393117415789,490.042125533945,3.2348279353947,44.1310391385963,718.73868424184,510.337641727761,329.014875192148,5361.05788830797,39.4969062125874,48.09%,38.03%,13.88%,10.06%,4.27%,1.18%,20.32%,4.23%,10.69%,0.88%,3.22%,15.65%,0.47%,9.14%,0.06%,0.82%,13.41%,9.52%,6.14%
A06,堅摩,7099,64.16%,135,115,433,212,910,37,224,628,16,422,7,44,674,443,223,4523,32,51.89%,35.44%,12.67%,16.45%,2.98%,2.54%,9.57%,4.69%,20.12%,0.82%,4.95%,13.88%,0.35%,9.33%,0.15%,0.97%,14.90%,9.79%,4.93%
A07*,觀龍,8441,61.60%,141.945499316404,123.511018885702,451.644770552195,221.213765168422,1367.83844795808,27.6517206460528,276.517206460528,694.058188215924,11.0606882584211,447.957874466055,2.7651720646053,36.8689608614037,503.26131575816,439.662358272239,376.985124807852,5122.94211169204,76.5030937874126,44.85%,43.41%,11.73%,1.44%,2.77%,2.41%,8.82%,4.32%,26.70%,0.54%,5.40%,13.55%,0.22%,8.74%,0.05%,0.72%,9.82%,8.58%,7.36%
A08,西環,7619,64.65%,109,80,418,204,1304,23,294,659,13,366,3,31,602,471,299,4876,50,48.07%,41.92%,10.01%,6.15%,2.24%,1.64%,8.57%,4.18%,26.74%,0.47%,6.03%,13.52%,0.27%,7.51%,0.06%,0.64%,12.35%,9.66%,6.13%
A09,寶翠,9780,60.25%,167,65,809,248,812,39,263,928,21,466,3,46,868,539,584,5858,34,50.53%,38.31%,11.16%,12.22%,2.85%,1.11%,13.81%,4.23%,13.86%,0.67%,4.49%,15.84%,0.36%,7.95%,0.05%,0.79%,14.82%,9.20%,9.97%
A10*,石塘咀,7923,58.05%,62.1724346076459,66.157847082495,517.306539235413,236.733501006036,637.665995975855,39.8541247484909,288.543863179074,660.78138832998,23.9124748490946,357.890040241449,4.7824949698189,25.5066398390342,530.05985915493,417.671227364185,666.360965794769,4535.39939637827,63.7665995975855,49.17%,41.04%,9.79%,8.14%,1.37%,1.46%,11.41%,5.22%,14.06%,0.88%,6.36%,14.57%,0.53%,7.89%,0.11%,0.56%,11.69%,9.21%,14.69%
A11,西營盤,7236,54.62%,61,60,417,191,733,35,233,532,14,281,4,27,420,304,575,3887,65,45.56%,45.28%,9.16%,0.28%,1.57%,1.54%,10.73%,4.91%,18.86%,0.90%,5.99%,13.69%,0.36%,7.23%,0.10%,0.69%,10.81%,7.82%,14.79%
A12*,上環,6702,60.53%,81.2138919514884,52.9977949283352,563.809261300992,158.038588754135,485.848952590959,47.0859977949283,209.862183020948,562.630650496141,20.2601984564498,309.598676957001,1.3042998897464,40.0859977949283,612.112458654906,375.814773980154,481.727673649394,4002.39140022051,54.0418963616318,50.29%,39.44%,10.27%,10.85%,2.03%,1.32%,14.09%,3.95%,12.14%,1.18%,5.24%,14.06%,0.51%,7.74%,0.03%,1.00%,15.29%,9.39%,12.04%
A13*,東華,5147,59.70%,78.7861080485116,50.0022050716648,406.190738699008,122.961411245865,474.151047409041,23.9140022050717,157.137816979052,467.369349503859,12.7398015435502,221.401323042999,1.6957001102536,32.9140022050717,491.887541345094,253.185226019846,241.272326350606,3035.60859977949,36.9581036383682,51.96%,37.74%,10.31%,14.22%,2.60%,1.65%,13.38%,4.05%,15.62%,0.79%,5.18%,15.40%,0.42%,7.29%,0.06%,1.08%,16.20%,8.34%,7.95%
A14,正街,6585,62.73%,109,66,573,194,383,35,239,686,27,333,3,33,567,421,409,4078,53,54.17%,34.33%,11.50%,19.84%,2.67%,1.62%,14.05%,4.76%,9.39%,0.86%,5.86%,16.82%,0.66%,8.17%,0.07%,0.81%,13.90%,10.32%,10.03%
A15*,水街,7183,62.07%,133.827565392354,64.842152917505,570.693460764588,223.266498993964,582.334004024145,49.1458752515091,224.456136820926,665.21861167002,30.0875251509054,361.109959758551,8.2175050301811,27.4933601609658,546.940140845071,464.328772635815,451.639034205231,4403.60060362173,55.2334004024145,50.52%,37.56%,11.92%,12.97%,3.04%,1.47%,12.96%,5.07%,13.22%,1.12%,5.10%,15.11%,0.68%,8.20%,0.19%,0.62%,12.42%,10.54%,10.26%
B01*,軒尼詩,4925,54.67%,74.8913830557567,44.5782041998552,446.673606082549,126.602099927589,300.457096307024,32.9878711078928,164.939355539464,373.565351194786,7.1325126719768,271.035481535119,2.6746922519913,25.855358435916,239.830738595221,261.228276611151,277.276430123099,2649.72845763939,42.795076031861,46.77%,39.91%,13.32%,6.86%,2.83%,1.68%,16.86%,4.78%,11.34%,1.24%,6.22%,14.10%,0.27%,10.23%,0.10%,0.98%,9.05%,9.86%,10.46%
